image_filename,destination_name,source_url,license,date_downloaded,downloaded_by
rankoth_vehera_1.jpg,Rankoth Vehera,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Rankoth_Vehera%2C_Ancient_City_of_Polonnaruwa%2C_Sri_Lanka_%285%29.jpg/960px-Rankoth_Vehera%2C_Ancient_City_of_Polonnaruwa%2C_Sri_Lanka_%285%29.jpg,,,
gal_vihara_1.jpg,Gal Vihara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Gal_Vihara_-_General.jpg/960px-Gal_Vihara_-_General.jpg,,,
aluvihare_rock_temple_1.jpg,Aluvihare Rock Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Matale_aluviharaya.jpg/960px-Matale_aluviharaya.jpg,,,
nagadeepa_purana_viharaya_1.jpg,Nagadeepa Purana Vihara,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Nainathivunakaviharai_2.jpg/960px-Nainathivunakaviharai_2.jpg,,,
malwathu_maha_viharaya_1.jpg,Malwathu Maha Viharaya,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/MONASTRY_AT_KANDY_LAKE_SRI_LANKA_JAN_2013_%288900839218%29.jpg/960px-MONASTRY_AT_KANDY_LAKE_SRI_LANKA_JAN_2013_%288900839218%29.jpg,,,
degaldoruwa_raja_maha_viharaya_1.jpg,Degaldoruwa Raja Maha Vihara,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/SL_Kandy_asv2020-01_img49_Degaldoruwa_Temple.jpg/960px-SL_Kandy_asv2020-01_img49_Degaldoruwa_Temple.jpg,,,
watadage_1.jpg,Vatadage,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Vatadage_Polonnaruwa_1.jpg/960px-Vatadage_Polonnaruwa_1.jpg,,,
nallur_kandaswamy_kovil_1.jpg,Nallur Kandaswamy temple,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Nallur_Kandasamy_front_entrance.jpg/960px-Nallur_Kandasamy_front_entrance.jpg,,,
koneswaram_temple_1.jpg,Koneswaram Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Trincomalee%2C_Temple_Koneswaram_consacr%C3%A9_%C3%A0_Vishnou.jpg/960px-Trincomalee%2C_Temple_Koneswaram_consacr%C3%A9_%C3%A0_Vishnou.jpg,,,
naguleswaram_temple_1.jpg,Naguleswaram temple,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Corridors_of_the_Naguleswaram_temple.jpg/960px-Corridors_of_the_Naguleswaram_temple.jpg,,,
ketheeswaram_temple_1.jpg,Ketheeswaram temple,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81_%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%87%E0%AE%A4%E0%AF%80%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%B0_%E0%AE%86%E0%AE%B2%E0%AE%AF_%E0%AE%95%E0%AF%8B%E0%AE%AA%E0%AF%81%E0%AE%B0%E0%AE%AE%E0%AF%8D_%28%E0%AE%AE%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D%29.jpg/960px-%E0%AE%88%E0%AE%B4%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81_%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%87%E0%AE%A4%E0%AF%80%E0%AE%B8%E0%AF%8D%E0%AE%B5%E0%AE%B0_%E0%AE%86%E0%AE%B2%E0%AE%AF_%E0%AE%95%E0%AF%8B%E0%AE%AA%E0%AF%81%E0%AE%B0%E0%AE%AE%E0%AF%8D_%28%E0%AE%AE%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BE%E0%AE%B0%E0%AF%8D%29.jpg,,,
maviddapuram_kandaswamy_temple_1.jpg,Maviddapuram Kandaswamy Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Maviddapuram_Kandaswamy_temple.JPG/960px-Maviddapuram_Kandaswamy_temple.JPG,,,
st._marys_cathedral_1.jpg,St. Mary's Cathedral,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/St._Mary%27s_Cathedral%2C_Jaffna.jpg/960px-St._Mary%27s_Cathedral%2C_Jaffna.jpg,,,
st._lucias_cathedral_1.jpg,St. Lucia's Cathedral,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/SL_Colombo_asv2020-01_img23_StLucia_Church.jpg/960px-SL_Colombo_asv2020-01_img23_StLucia_Church.jpg,,,
st._sebastians_church_1.jpg,St. Sebastian's Church,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Negombo_03.jpg/960px-Negombo_03.jpg,,,
all_saints_church_1.jpg,All Saints Church,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/SL_Galle_Fort_asv2020-01_img17.jpg/960px-SL_Galle_Fort_asv2020-01_img17.jpg,,,
holy_trinity_church_1.jpg,Holy Trinity Church,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/All_Saints_Church%2C_Nuwara_Eliya_%281%29.jpg/960px-All_Saints_Church%2C_Nuwara_Eliya_%281%29.jpg,,,
jami_ul-alfar_mosque_1.jpg,Jami Ul-Alfar Mosque,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/SL_Colombo_asv2020-01_img22_Jami_Ul-Alfar_Mosque.jpg/960px-SL_Colombo_asv2020-01_img22_Jami_Ul-Alfar_Mosque.jpg,,,
al_abrar_mosque_1.jpg,Masjid Al-Abrar,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Al_Abrar_Mosque%2C_Beruwala.jpg/960px-Al_Abrar_Mosque%2C_Beruwala.jpg,,,
